1.  Seberapa sering Anda menggunakan WiFi kampus?,2. Berapa lama rata-rata Anda menggunakan WiFi kampus dalam sehari?,Bagaimana kualitas Wifi Kampus dalam menunjang kegiatan akademik [Kecepatan],Bagaimana kualitas Wifi Kampus dalam menunjang kegiatan akademik [Kestabilan],Bagaimana kualitas Wifi Kampus dalam menunjang kegiatan akademik [Aksesibilitas],Apakah kamu memanfaatkan Wifi kampus untuk menunjang kegiatan akademik [Kelas Online],Apakah kamu memanfaatkan Wifi kampus untuk menunjang kegiatan akademik [Belajar],Apakah kamu memanfaatkan Wifi kampus untuk menunjang kegiatan akademik [Mengerjakan tugas],"Dengan Wifi yang mendukung, apakah kamu lebih termotivasi dalam mengikuti kegiatan akademik [Kelas Online]","Dengan Wifi yang mendukung, apakah kamu lebih termotivasi dalam mengikuti kegiatan akademik [Belajar]","Dengan Wifi yang mendukung, apakah kamu lebih termotivasi dalam mengikuti kegiatan akademik [Mengerjakan Tugas]",Apa kamu puas dengan fasilitas Wifi di kampus [Kecepatan],Apa kamu puas dengan fasilitas Wifi di kampus [Kestabilan],Apa kamu puas dengan fasilitas Wifi di kampus [Aksesibilitas]
3-5 kali seminggu,1 - 3 Jam,Bagus,Bagus,Tidak Bagus,Sering,Selalu,Sering,Sangat Setuju,Sangat Setuju,Sangat Setuju,Puas,Puas,Tidak Puas
3-5 kali seminggu,> 6 Jam,Tidak Bagus,Netral,Tidak Bagus,Sering,Sering,Sering,Setuju,Setuju,Setuju,Tidak Puas,Sangat Tidak Puas,Tidak Puas
1-2 kali seminggu,< 1 Jam,Netral,Netral,Netral,Jarang,Selalu,Terkadang,Netral,Setuju,Netral,Puas,Puas,Netral
3-5 kali seminggu,> 6 Jam,Tidak Bagus,Tidak Bagus,Tidak Bagus,Sering,Tidak Pernah,Terkadang,Netral,Netral,Netral,Netral,Tidak Puas,Tidak Puas
3-5 kali seminggu,4 - 6 Jam,Netral,Tidak Bagus,Netral,Terkadang,Selalu,Selalu,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Tidak Puas,Netral
3-5 kali seminggu,4 - 6 Jam,Tidak Bagus,Tidak Bagus,Bagus,Jarang,Sering,Jarang,Setuju,Setuju,Setuju,Puas,Tidak Puas,Puas
Setiap Hari,> 6 Jam,Netral,Netral,Tidak Bagus,Jarang,Jarang,Selalu,Netral,Netral,Netral,Netral,Netral,Tidak Puas
3-5 kali seminggu,1 - 3 Jam,Netral,Netral,Netral,Jarang,Terkadang,Terkadang,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral
3-5 kali seminggu,4 - 6 Jam,Bagus,Netral,Bagus,Jarang,Selalu,Sering,Sangat Setuju,Sangat Setuju,Sangat Setuju,Puas,Tidak Puas,Puas
Setiap Hari,> 6 Jam,Tidak Bagus,Tidak Bagus,Netral,Jarang,Terkadang,Terkadang,Netral,Netral,Netral,Tidak Puas,Tidak Puas,Tidak Puas
Setiap Hari,> 6 Jam,Netral,Netral,Netral,Sering,Sering,Sering,Setuju,Setuju,Setuju,Netral,Netral,Netral
Jarang,< 1 Jam,Netral,Netral,Bagus,Jarang,Terkadang,Terkadang,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Puas
3-5 kali seminggu,1 - 3 Jam,Tidak Bagus,Tidak Bagus,Tidak Bagus,Terkadang,Sering,Jarang,Setuju,Setuju,Setuju,Tidak Puas,Tidak Puas,Netral
3-5 kali seminggu,4 - 6 Jam,Bagus,Bagus,Bagus,Sering,Sering,Sering,Setuju,Setuju,Setuju,Puas,Puas,Puas
3-5 kali seminggu,4 - 6 Jam,Sangat Tidak Bagus,Tidak Bagus,Sangat Tidak Bagus,Tidak Pernah,Sering,Terkadang,Setuju,Setuju,Setuju,Sangat Tidak Puas,Sangat Tidak Puas,Sangat Tidak Puas
3-5 kali seminggu,1 - 3 Jam,Sangat Tidak Bagus,Tidak Bagus,Bagus,Terkadang,Sering,Terkadang,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Puas,Sangat Tidak Puas,Netral
Jarang,< 1 Jam,Netral,Tidak Bagus,Netral,Terkadang,Tidak Pernah,Tidak Pernah,Netral,Netral,Netral,Sangat Tidak Puas,Sangat Tidak Puas,Sangat Tidak Puas
3-5 kali seminggu,4 - 6 Jam,Netral,Bagus,Netral,Jarang,Terkadang,Jarang,Setuju,Setuju,Setuju,Puas,Puas,Puas
3-5 kali seminggu,4 - 6 Jam,Bagus,Tidak Bagus,Netral,Terkadang,Jarang,Terkadang,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Tidak Puas,Netral
1-2 kali seminggu,1 - 3 Jam,Netral,Netral,Netral,Terkadang,Terkadang,Terkadang,Setuju,Setuju,Setuju,Netral,Netral,Netral
3-5 kali seminggu,4 - 6 Jam,Netral,Netral,Netral,Terkadang,Terkadang,Terkadang,Netral,Netral,Netral,Netral,Netral,Netral
3-5 kali seminggu,4 - 6 Jam,Bagus,Bagus,Bagus,Sering,Sering,Sering,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Puas,Tidak Puas,Netral
3-5 kali seminggu,1 - 3 Jam,Bagus,Tidak Bagus,Sangat Bagus,Terkadang,Terkadang,Terkadang,Setuju,Setuju,Setuju,Netral,Netral,Puas
1-2 kali seminggu,1 - 3 Jam,Bagus,Netral,Bagus,Jarang,Sering,Sering,Setuju,Setuju,Setuju,Puas,Netral,Netral
Jarang,1 - 3 Jam,Sangat Bagus,Sangat Tidak Bagus,Sangat Bagus,Tidak Pernah,Jarang,Selalu,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Puas,Sangat Tidak Puas,Tidak Puas
3-5 kali seminggu,4 - 6 Jam,Bagus,Tidak Bagus,Sangat Tidak Bagus,Terkadang,Terkadang,Sering,Tidak Setuju,Setuju,Sangat Setuju,Tidak Puas,Tidak Puas,Tidak Puas
3-5 kali seminggu,1 - 3 Jam,Bagus,Bagus,Bagus,Selalu,Selalu,Selalu,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral
3-5 kali seminggu,> 6 Jam,Netral,Netral,Netral,Terkadang,Sering,Sering,Netral,Setuju,Setuju,Netral,Puas,Puas
Setiap Hari,> 6 Jam,Netral,Tidak Bagus,Netral,Sering,Selalu,Selalu,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral
Setiap Hari,1 - 3 Jam,Sangat Bagus,Bagus,Sangat Bagus,Sering,Sering,Sering,Setuju,Sangat Setuju,Sangat Setuju,Sangat Puas,Puas,Sangat Puas
Jarang,1 - 3 Jam,Bagus,Netral,Netral,Sering,Selalu,Selalu,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Puas,Puas
3-5 kali seminggu,1 - 3 Jam,Netral,Netral,Netral,Jarang,Sering,Jarang,Netral,Netral,Netral,Netral,Netral,Netral
3-5 kali seminggu,1 - 3 Jam,Tidak Bagus,Tidak Bagus,Netral,Selalu,Sering,Sering,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Puas,Sangat Tidak Puas,Tidak Puas
3-5 kali seminggu,4 - 6 Jam,Tidak Bagus,Tidak Bagus,Bagus,Jarang,Terkadang,Terkadang,Netral,Tidak Setuju,Netral,Tidak Puas,Tidak Puas,Netral
3-5 kali seminggu,1 - 3 Jam,Tidak Bagus,Tidak Bagus,Bagus,Jarang,Tidak Pernah,Terkadang,Setuju,Setuju,Setuju,Tidak Puas,Netral,Puas
3-5 kali seminggu,1 - 3 Jam,Tidak Bagus,Netral,Bagus,Jarang,Terkadang,Sering,Tidak Setuju,Netral,Setuju,Tidak Puas,Netral,Puas
Jarang,< 1 Jam,Netral,Netral,Netral,Terkadang,Terkadang,Terkadang,Setuju,Setuju,Netral,Netral,Netral,Netral
3-5 kali seminggu,4 - 6 Jam,Bagus,Netral,Netral,Jarang,Selalu,Selalu,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Puas,Netral,Netral
3-5 kali seminggu,1 - 3 Jam,Netral,Netral,Netral,Terkadang,Terkadang,Terkadang,Netral,Netral,Netral,Netral,Netral,Netral
1-2 kali seminggu,1 - 3 Jam,Tidak Bagus,Tidak Bagus,Tidak Bagus,Tidak Pernah,Jarang,Jarang,Netral,Setuju,Setuju,Sangat Tidak Puas,Sangat Tidak Puas,Sangat Tidak Puas
3-5 kali seminggu,4 - 6 Jam,Bagus,Netral,Bagus,Terkadang,Sering,Selalu,Setuju,Sangat Setuju,Sangat Setuju,Puas,Netral,Puas
3-5 kali seminggu,4 - 6 Jam,Bagus,Netral,Tidak Bagus,Selalu,Sering,Sering,Netral,Netral,Netral,Puas,Netral,Tidak Puas
Setiap Hari,4 - 6 Jam,Tidak Bagus,Tidak Bagus,Tidak Bagus,Selalu,Selalu,Selalu,Setuju,Setuju,Setuju,Tidak Puas,Tidak Puas,Tidak Puas
3-5 kali seminggu,4 - 6 Jam,Netral,Netral,Netral,Terkadang,Terkadang,Terkadang,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Puas,Puas,Puas
Setiap Hari,4 - 6 Jam,Tidak Bagus,Netral,Bagus,Jarang,Sering,Sering,Tidak Setuju,Setuju,Setuju,Tidak Puas,Tidak Puas,Puas
Jarang,1 - 3 Jam,Netral,Netral,Netral,Jarang,Jarang,Jarang,Netral,Netral,Netral,Netral,Netral,Netral
3-5 kali seminggu,1 - 3 Jam,Netral,Tidak Bagus,Sangat Bagus,Sering,Terkadang,Sering,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Puas,Tidak Puas,Puas
Setiap Hari,4 - 6 Jam,Netral,Tidak Bagus,Netral,Jarang,Sering,Sering,Netral,Setuju,Setuju,Netral,Netral,Netral
Setiap Hari,4 - 6 Jam,Netral,Bagus,Netral,Terkadang,Sering,Sering,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral
3-5 kali seminggu,4 - 6 Jam,Netral,Tidak Bagus,Netral,Jarang,Sering,Sering,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral
3-5 kali seminggu,< 1 Jam,Netral,Tidak Bagus,Bagus,Jarang,Sering,Terkadang,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Puas,Tidak Puas,Tidak Puas
1-2 kali seminggu,1 - 3 Jam,Tidak Bagus,Sangat Tidak Bagus,Tidak Bagus,Tidak Pernah,Terkadang,Terkadang,Netral,Setuju,Setuju,Tidak Puas,Sangat Tidak Puas,Tidak Puas
Jarang,1 - 3 Jam,Netral,Tidak Bagus,Netral,Tidak Pernah,Terkadang,Terkadang,Netral,Netral,Setuju,Netral,Tidak Puas,Netral
Setiap Hari,1 - 3 Jam,Tidak Bagus,Tidak Bagus,Tidak Bagus,Terkadang,Sering,Terkadang,Netral,Netral,Netral,Tidak Puas,Tidak Puas,Tidak Puas
3-5 kali seminggu,4 - 6 Jam,Sangat Tidak Bagus,Sangat Tidak Bagus,Sangat Tidak Bagus,Jarang,Jarang,Jarang,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Puas,Tidak Puas,Tidak Puas
Setiap Hari,> 6 Jam,Netral,Sangat Tidak Bagus,Netral,Selalu,Selalu,Selalu,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Tidak Puas,Tidak Puas
Jarang,1 - 3 Jam,Netral,Tidak Bagus,Netral,Jarang,Jarang,Jarang,Netral,Netral,Netral,Netral,Netral,Netral
3-5 kali seminggu,1 - 3 Jam,Netral,Tidak Bagus,Tidak Bagus,Tidak Pernah,Terkadang,Jarang,Setuju,Setuju,Setuju,Tidak Puas,Tidak Puas,Tidak Puas
1-2 kali seminggu,1 - 3 Jam,Tidak Bagus,Tidak Bagus,Tidak Bagus,Sering,Sering,Sering,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Puas,Tidak Puas,Tidak Puas
1-2 kali seminggu,1 - 3 Jam,Netral,Tidak Bagus,Netral,Jarang,Terkadang,Terkadang,Netral,Netral,Netral,Tidak Puas,Tidak Puas,Tidak Puas
